Title	URL	Assignees	Status	Labels
[MCU] Communication Layer (IsoTP)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/40	wlklsn	In Progress	Est. size = 8, Sprint 4, Sprint 5
Packaging of Windows Aplication - .zip / Installer	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/23	PaulRoy1	Awaiting Review	Est. size = 2, Sprint 5
Restart the ECU (soft reset) over GUI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/18	wiklam	Awaiting Review	Est. size = 3, Sprint 5
[MCU] UDS messageInterpreter (Rx)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/43	ibexq, sebas-rodri	Awaiting Review	Est. size = 5, Sprint 4, Sprint 5
Build Process Video	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/47	ibexq	Awaiting Review	Sprint 5
[WIN] Communication Layer (IsoTP)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/39	MikeFAU	Awaiting Review	Est. size = 5, Sprint 4, Sprint 5
[MCU] UDS Tx	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/44	ibexq, sebas-rodri	Awaiting Review	Est. size = 5, Sprint 4, Sprint 5
Clarify License Text	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/67		Product Backlog	
[GUI] Add Clear Log Button	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/66		Product Backlog	
GUI changes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/68		Product Backlog	
Update Software Architecture Diagram	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/72		Product Backlog	
Move buildscripts into subdirectories	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/73		Product Backlog	build
Refactoring of drivers	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/69		Product Backlog	refactoring
[Bugfix] Investigate bytes lost maybe in IsoTP	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/75		Product Backlog	Bugfix, transmission
[Win] Fix CAN-Bus not opening, when already in use by other app, e.g. CANoe	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/52		Product Backlog	Bugfix
Populate MCU List from CAN Bus	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/51		Product Backlog	
[ALL] Implement header for UDS memory location constants from documentation			Product Backlog	
Implement the interface Configuration			Product Backlog	
User Authentication for Flashing Process			Product Backlog	
Implement last flash date and time display	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/8		Product Backlog	
Implement Logging for Diagnostic Sessions			Product Backlog	
Create dummy ASW for demonstration purposes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/48		Product Backlog	
Flash ECU Firmware	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/20		Product Backlog	Core Feature
Manage Flash file selection in the FlashFile UI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/24		Product Backlog	
Makefile for MCU			Product Backlog	
