Title	URL	Assignees	Status	Labels
Packaging of Windows Aplication - .zip / Installer	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/23	PaulRoy1	Feature Archive	Est. size = 2, Real size = 2, Sprint 5
Clarify License Text	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/67	ibexq	In Progress	Est. size = 3, Sprint 6
[GUI] Add Clear Log Button	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/66	sebas-rodri	In Progress	Est. size = 2, Sprint 6
[Bugfix] Investigate bytes lost maybe in IsoTP	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/75	sebas-rodri, wlklsn	Awaiting Review	Bugfix, Est. size = 5, Sprint 6, transmission
Restart the ECU (soft reset) over GUI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/18	wiklam	Awaiting Review	Est. size = 3, Sprint 5
[Win] Fix CAN-Bus not opening, when already in use by other app, e.g. CANoe	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/52	MikeFAU	Awaiting Review	Bugfix, Est. size = 1, Sprint 6
GUI changes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/68	wiklam	Awaiting Review	Est. size = 5, Sprint 6
Populate MCU List from CAN Bus	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/51	MikeFAU	Awaiting Review	Est. size = 2, Sprint 6
Move buildscripts into subdirectories	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/73	wlklsn	Awaiting Review	build, Est. size = 1, Sprint 6
Midterm Refactoring and Bugfixing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/81	MikeFAU	Awaiting Review	Bugfix, Est. size = 3, refactoring, Sprint 6
Update Software Architecture Diagram	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/72	MikeFAU	Awaiting Review	Est. size = 3, Sprint 6
Refactoring of drivers	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/69	PaulRoy1	Awaiting Review	Est. size = 5, refactoring, Sprint 6
[MCU] UDS messageInterpreter (Rx)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/43	ibexq, sebas-rodri	Feature Archive	Est. size = 5, Real size = 5, Sprint 4, Sprint 5
Build Process Video	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/47	ibexq	Feature Archive	Sprint 5
[WIN] Communication Layer (IsoTP)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/39	MikeFAU	Feature Archive	Est. size = 5, Real size = 8, Sprint 4, Sprint 5
[MCU] UDS Tx	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/44	ibexq, sebas-rodri	Feature Archive	Est. size = 5, Real size = 5, Sprint 4, Sprint 5
[MCU] Communication Layer (IsoTP)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/40	wlklsn	Feature Archive	Est. size = 8, Real size = 8, Sprint 4, Sprint 5
[WIN] Implement the CAN bus bitrate selection	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/85		Product Backlog	
[MCU] Adjust linker-script for bootloader	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/86		Product Backlog	
[WIN] Add connectivity indicator	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/87		Product Backlog	
[MCU] Create dummy ASW for demonstration purposes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/48		Product Backlog	
[MCU] Implement flash date display and flash persistence module	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/8		Product Backlog	
[WIN] Validation of firmware file	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/24		Product Backlog	
Flash ECU Firmware	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/20		Product Backlog	Core Feature
User Authentication for Flashing Process			Product Backlog	
Makefile for MCU			Product Backlog	
[WIN][MCU] Flow Control IsoTP			Product Backlog	
Implement Logging for Diagnostic Sessions			Product Backlog	
[ALL] Implement header for UDS identifier constants from documentation			Product Backlog	
